                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1826,                 3.2639,                 1.8107,                  0.016,                0.88889,                0.15142,                 0.0903,                 1.4587,                  2.997,                 1.2762,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.0779,                 3.1557,                 1.6599,                  0.017,                0.94444,                0.45863,                0.25801,                 1.2891,                 2.9253,                 1.1371,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.5592,                 2.5148,                 1.3088,                0.01733,                0.96296,                0.51171,                0.23277,                  1.462,                 2.8752,                 1.1782,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.5435,                 2.0186,                 1.2298,                0.58421,                0.20833,                0.45329,                0.14738,                 1.8095,                  2.682,                 1.2728,             0.00020693,             0.00020693,             0.00020693
                      5,                 1.3895,                 1.4784,                  1.147,                0.67647,                0.46468,                0.61316,                0.23379,                 1.5863,                 2.3868,                 1.1532,             0.00025782,             0.00025782,             0.00025782
                      6,                 1.2623,                  1.368,                 1.0782,                0.66414,                 0.3663,                0.54098,                0.19226,                 1.6957,                 2.4332,                  1.157,             0.00030634,             0.00030634,             0.00030634
                      7,                 1.3031,                 1.3379,                 1.0593,                      1,                0.19552,                0.65042,                0.25337,                   1.63,                 2.4501,                  1.136,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.3674,                 1.8854,                 1.1297,                0.87476,                0.25872,                0.66582,                0.33672,                 1.4776,                 2.4554,                 1.1084,             0.00039624,             0.00039624,             0.00039624
                      9,                   1.15,                 1.2354,                  1.041,                0.10075,                0.81481,                0.64484,                0.38618,                 1.2285,                 2.5596,                 1.0955,             0.00043763,             0.00043763,             0.00043763
                     10,                 1.3077,                 1.2457,                 1.0894,                0.78494,                0.51852,                0.61714,                0.36029,                 1.2262,                 2.5657,                 1.0904,             0.00047664,             0.00047664,             0.00047664
                     11,                  1.365,                 1.3351,                 1.1984,                      1,                 0.1129,                0.69711,                0.39435,                 1.3166,                  2.509,                 1.1252,             0.00051328,             0.00051328,             0.00051328
                     12,                 1.2795,                 1.1313,                 1.0569,                      1,                0.09472,                0.78682,                0.48707,                 1.2472,                 2.4437,                 1.1186,             0.00054754,             0.00054754,             0.00054754
                     13,                 1.2484,                 1.2195,                 1.1218,                      1,                 0.4982,                0.88965,                0.53186,                 1.3249,                 2.3433,                 1.1458,             0.00057942,             0.00057942,             0.00057942
                     14,                 1.3806,                 1.2168,                 1.1508,                      1,                0.47959,                 0.9083,                0.53099,                 1.2945,                 2.3249,                 1.1445,             0.00060893,             0.00060893,             0.00060893
                     15,                 1.2039,                 1.0988,                 1.0697,                      1,                0.22097,                0.89515,                0.50261,                  1.337,                 2.3749,                 1.1564,             0.00063606,             0.00063606,             0.00063606
                     16,                 1.3446,                 1.2386,                  1.075,                      1,                0.20703,                0.87424,                0.51687,                 1.3253,                 2.3494,                 1.1522,             0.00066082,             0.00066082,             0.00066082
                     17,                 1.1661,                 1.1297,                 1.0623,                0.95651,                0.40733,                0.83224,                0.49108,                 1.3454,                 2.2178,                 1.1348,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.2649,                 1.1087,                 1.0962,                0.89848,                0.49181,                0.82803,                0.45905,                 1.3776,                  2.195,                 1.1575,              0.0007032,              0.0007032,              0.0007032
                     19,                  1.129,                 1.0448,                 1.0478,                0.86779,                0.53704,                0.79457,                0.45246,                  1.431,                 2.1619,                 1.1741,             0.00072083,             0.00072083,             0.00072083
                     20,                 1.2036,                 1.0462,                 1.0498,                0.90014,                0.64815,                 0.8708,                0.52988,                 1.3552,                  2.024,                 1.1564,             0.00073608,             0.00073608,             0.00073608
                     21,                 1.1605,                0.99418,                 1.0794,                0.92579,                0.74074,                0.89092,                0.53159,                  1.355,                 1.8785,                 1.1618,             0.00074896,             0.00074896,             0.00074896
                     22,                 1.1963,                 1.0363,                 1.0889,                0.91857,                0.75926,                0.89341,                0.54816,                  1.362,                 1.7812,                 1.1757,             0.00075946,             0.00075946,             0.00075946
                     23,                 1.1545,                 1.1098,                 1.0535,                0.96049,                0.77778,                0.89844,                0.59002,                 1.2723,                 1.6211,                 1.1794,             0.00076758,             0.00076758,             0.00076758
                     24,                 1.1254,                0.93809,                 1.0306,                  0.917,                0.81849,                0.89464,                0.59461,                 1.2663,                  1.543,                 1.2186,             0.00077333,             0.00077333,             0.00077333
                     25,                  1.134,                0.91592,                 1.0419,                0.86751,                0.84885,                0.87644,                0.51171,                 1.4608,                 1.4755,                 1.2884,              0.0007767,              0.0007767,              0.0007767
                     26,                 1.1032,                0.95793,                 1.0233,                0.88377,                0.87037,                0.88076,                0.51604,                 1.4337,                 1.3996,                 1.2688,              0.0007777,              0.0007777,              0.0007777
                     27,                  1.211,                 1.0179,                 1.0447,                0.94076,                0.85185,                0.90123,                0.54775,                 1.3291,                  1.332,                 1.2217,             0.00077632,             0.00077632,             0.00077632
                     28,                 1.1262,                0.96203,                 1.0225,                0.95758,                0.83618,                0.91294,                0.58281,                 1.2516,                 1.3356,                  1.173,             0.00077256,             0.00077256,             0.00077256
                     29,                  1.205,                  1.061,                 1.0935,                0.95758,                0.83618,                0.91294,                0.58281,                 1.2516,                 1.3356,                  1.173,             0.00076643,             0.00076643,             0.00076643
                     30,                 1.0749,                0.89076,                 1.0061,                0.91404,                0.78772,                 0.8883,                0.56686,                  1.251,                   1.44,                 1.1413,             0.00075792,             0.00075792,             0.00075792
                     31,                 1.2914,                 1.6492,                 1.1963,                0.87605,                0.74074,                0.82397,                  0.526,                 1.2695,                 1.6105,                  1.154,             0.00074704,             0.00074704,             0.00074704
                     32,                 1.1315,                 1.0321,                 1.0344,                0.84316,                0.69695,                0.75456,                0.47796,                 1.3286,                 1.8216,                 1.1771,             0.00073378,             0.00073378,             0.00073378
                     33,                 1.0364,                0.94988,                 1.0092,                0.84316,                0.69695,                0.75456,                0.47796,                 1.3286,                 1.8216,                 1.1771,             0.00071814,             0.00071814,             0.00071814
                     34,                 1.0603,                0.95482,                0.98412,                0.90645,                0.71785,                0.79582,                0.49324,                 1.2533,                 1.7525,                 1.1575,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0637,                0.93412,                 1.0023,                0.89727,                0.72222,                0.81254,                0.53882,                 1.1925,                 1.5996,                 1.1462,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0239,                0.94174,                 1.0355,                0.91051,                0.77778,                0.85044,                0.56892,                 1.1833,                 1.4936,                 1.1365,               0.000614,               0.000614,               0.000614
